Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains
fivethirtyeight.com,https://fivethirtyeight.com/sports/feed/,FiveThirtyEight - Sports,Sports,Disabled,-0.24,,article,,projects.fivethirtyeight.com;fivethirtyeight.com
espnfc.com,https://www.espn.com/espn/rss/soccer/news,ESPN - Football,Sports,Disabled,-0.42,,article,,www.espn.com
foxsports.com,https://api.foxsports.com/v1/rss,FOX Sports,Sports,Disabled,-0.69,,article,,www.foxsports.com
mlbtraderumors.com,https://www.mlbtraderumors.com/feed/atom,MLB Trade Rumors,Sports,Disabled,-0.85,,article,,www.mlbtraderumors.com
blogs.fangraphs.com,https://blogs.fangraphs.com/feed/,FanGraphs Baseball,Sports,Disabled,-0.89,,article,,blogs.fangraphs.com
uproxx.com,https://feeds.feedburner.com/uproxx/withleather,Uproxx - Sports,Sports,Disabled,-1.05,,article,,uproxx.com
theringer.com,https://www.theringer.com/rss/index.xml,The Ringer,Sports,Disabled,-1.07,,article,,www.theringer.com
feeds.feedburner.com/arseblog.com,https://feeds.feedburner.com/arseblog,Arseblog,Sports,Disabled,-1.13,,article,,shows.acast.com
theathletic.com,https://theathletic.com/rss-feed/,The Athletic,Sports,Disabled,-1.22,,article,,theathletic.com
basketball.realgm.com/news,https://basketball.realgm.com/rss/realgm_nba_wiretap.xml,RealGM Basketball Wiretap,Sports,Disabled,-1.27,,article,,basketball.realgm.com
theathletic.com/nba,https://theathletic.com/nba/?rss=1,The Athletic - NBA,Sports,Disabled,-1.27,,article,,theathletic.com
cnet.com,https://www.cnet.com/rss/news/,CNET News,Technology,Enabled,10.10,On,article,,www.cnet.com
theverge.com,https://www.theverge.com/rss/full.xml,The Verge,Technology,Enabled,5.96,,article,,www.theverge.com
engadget.com,https://www.engadget.com/rss-full.xml,Engadget,Technology,Enabled,5.34,,article,,www.engadget.com
wired.com,https://www.wired.com/feed,Wired,Technology,Enabled,3.55,,article,,www.wired.com
lifehacker.com,https://lifehacker.com/rss,Lifehacker,Technology,Enabled,3.19,,article,,lifehacker.com
techcrunch.com,https://techcrunch.com/feed/,TechCrunch,Technology,Enabled,3.15,,article,,techcrunch.com
gizmodo.com,https://gizmodo.com/rss,Gizmodo,Technology,Enabled,2.65,,article,,gizmodo.com
zdnet.com,https://www.zdnet.com/news/rss.xml,ZDNet,Technology,Disabled,2.30,,article,,www.zdnet.com
mashable.com,https://feeds.mashable.com/Mashable,Mashable,Technology,Disabled,1.83,On,article,,mashable.com
techradar.com,https://www.techradar.com/rss,TechRadar,Technology,Disabled,1.70,,article,,www.techradar.com
digitaltrends.com,https://www.digitaltrends.com/feed/,Digital Trends,Technology,Disabled,1.31,,article,,www.digitaltrends.com
howtogeek.com,https://feeds.howtogeek.com/HowToGeek,How-To Geek,Technology,Disabled,0.92,,article,,www.cloudsavvyit.com;www.howtogeek.com;www.reviewgeek.com
gsmarena.com,https://www.gsmarena.com/rss-news-reviews.php3,GSMArena,Technology,Disabled,0.77,,article,,www.gsmarena.com
androidcentral.com,https://www.androidcentral.com/feed,Android Central,Technology,Disabled,0.48,,article,,www.androidcentral.com
macrumors.com,https://feeds.macrumors.com/MacRumors-Front,MacRumors,Technology,Disabled,-0.07,,article,,www.macrumors.com
venturebeat.com,https://venturebeat.com/feed/,VentureBeat,Technology,Disabled,-0.49,,article,,venturebeat.com
thenextweb.com,https://feeds2.feedburner.com/thenextweb,The Next Web,Technology,Disabled,-0.54,,article,,thenextweb.com
windowscentral.com,https://feeds.feedburner.com/wmexperts,Windows Central,Technology,Disabled,-0.59,,article,,www.windowscentral.com
makeuseof.com,https://feeds.feedburner.com/Makeuseof,MakeUseOf,Technology,Disabled,-0.76,,article,,www.makeuseof.com
hackaday.com,https://hackaday.com/blog/feed/,Hackaday,Technology,Disabled,-0.81,,article,,hackaday.com
9to5mac.com,https://9to5mac.com/feed/,9to5Mac,Technology,Disabled,-0.83,,article,,9to5mac.com
spectrum.ieee.org,https://feeds2.feedburner.com/IeeeSpectrum,IEEE Spectrum,Technology,Disabled,-0.87,,article,,spectrum.ieee.org
thepointsguy.com,https://feeds.feedburner.com/thepointsguy,The Points Guy,Travel,Enabled,9.94,,article,,thepointsguy.com
lonelyplanet.com,https://www.lonelyplanet.com/articles/news/feed/atom,Lonely Planet,Travel,Enabled,8.91,,article,,www.lonelyplanet.com
atlasobscura.com,https://www.atlasobscura.com/feeds/latest,Atlas Obscura,Travel,Enabled,6.64,,article,,www.atlasobscura.com
stuckincustoms.com,https://feeds.feedburner.com/stuckincustoms/EmRA,Stuck in Customs,Travel,Disabled,2.70,,article,,stuckincustoms.com
onemileatatime.com,https://onemileatatime.com/feed/,One Mile at a Time,Travel,Disabled,2.51,,article,,onemileatatime.com
skift.com,https://skift.com/feed/,Skift,Travel,Disabled,2.50,On,article,,skift.com
matadornetwork.com,https://matadornetwork.com/feed/,Matador Network,Travel,Disabled,2.07,,article,,matadornetwork.com
adventure.com,https://adventure.com/feed/,Adventure,Travel,Disabled,0.63,,article,,adventure.com
millionmilesecrets.com,https://feeds.feedburner.com/MillionMileSecrets,Million Mile Secrets,Travel,Disabled,0.31,,article,,millionmilesecrets.com
flyertalk.com,https://www.flyertalk.com/feed,FlyerTalk,Travel,Disabled,0.25,,article,,www.flyertalk.com
boardingarea.com,https://boardingarea.com/feed/atom/,BoardingArea,Travel,Disabled,0.17,,article,,www.paddleyourownkanoo.com;milesforfamily.com;liveandletsfly.com;travelupdate.com;yourmileagemayvary.net;viewfromthewing.com;youhavebeenupgraded.boardingarea.com;onemileatatime.com;milestomemories.com
frommers.com,https://www.frommers.com/feed,Frommer's,Travel,Disabled,-1.31,,article,,www.frommers.com
theguardian.com/us/travel,https://www.theguardian.com/us/travel/rss,The Guardian - Travel,Travel,Disabled,-1.39,On,article,,www.theguardian.com
secretflying.com,https://www.secretflying.com/feed/,Secret Flying,Travel,Disabled,-1.40,,article,,www.secretflying.com
travelweekly.com,https://feeds.feedburner.com/TravelWeeklysTopStories,Travel Weekly,Travel,Disabled,-1.42,,article,,www.travelweekly.com
afar.com,https://feeds.feedburner.com/AfarMagazine,AFAR Magazine,Travel,Disabled,-1.45,,article,,www.afar.com
blog.ricksteves.com,https://blog.ricksteves.com/feed/,Rick Steves' Travel Blog,Travel,Disabled,-1.52,,article,,blog.ricksteves.com
theflightdeal.com,https://feeds.feedburner.com/TheFlightDeal,The Flight Deal,Travel,Disabled,-1.54,,article,,www.theflightdeal.com
